InChI Key,SMILES,DrugBank ID,Target uniprot,Target organism,Target actions,Target cellular location,ATC Codes,CAS Number
RADKZDMFGJYCBB-UHFFFAOYSA-N,CC1=NC=C(CO)C(C=O)=C1O,DB00147,O00764,Human,,Cytoplasm,,66-72-8
RHGKLRLOHDJJDR-BYPYZUCNSA-N,N[C@@H](CCCNC(N)=O)C(O)=O,DB00155,P29474; P00966; O95865; Q5T6L4; O94760; P00480; P29475; P35228; Q9UM07; Q6TGC4; Q9ULC6; Q9ULW8; Q9Y2J8,Human,,Cell membrane; Cytoplasm; Mitochondrion matrix,,372-75-8
OVBPIULPVIDEAO-LBPRGKRZSA-N,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,DB00158,P02768; P42898; P05181; Q92820; P41439; P14207; P15328; O15439; Q4U2R8; O15438; Q96J66; Q9UNQ0; Q96NT5; Q9H2D1,Human,substrate; binder; inhibitor,Secreted; Endoplasmic reticulum membrane; Cell membrane; Membrane; Apical cell membrane; Mitochondrion inner membrane,B03AE02; B03AE01; B03BB51; B03BB01,59-30-3
HCZKYJDFEPMADG-TXEJJXNPSA-N,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,DB00179,P09917; P51589; P04278,Human,inhibitor,Cytoplasm; Endoplasmic reticulum membrane; Secreted,L01XX10,27686-84-6
KPYSYYIEGFHWSV-UHFFFAOYSA-N,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,DB00181,Q9UBS5; O75899; Q8TCC7,Human,agonist; inhibitor,Cell membrane; Basolateral cell membrane,M03BX01,1134-47-0
WUTYZMFRCNBCHQ-LHIURRSHSA-N,CC1O[C@@]2(CS1)CN1CCC2CC1,DB00185,P11229; P20309; P08684; P10635; Q01740,Human,agonist; substrate,Cell membrane; Endoplasmic reticulum membrane; Microsome membrane,N07AX03,107233-08-9
AQNDDEOPVVGCPG-UHFFFAOYSA-N,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,DB00187,P08588,Human,antagonist,Cell membrane,C07AB09,81147-92-4
ZEHYJZXQEQOSON-AATRIKPKSA-N,[H]C(Cl)=CC(O)(CC)C#C,DB00189,P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Human,positive allosteric modulator,Cell junction,N05CM08,113-18-8
RYYVLZVUVIJVGH-UHFFFAOYSA-N,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,DB00201,P30542; Q07343; P29274; P05177; P21817; P08684; P20815; P24462; P08183; P05181; P10632; P11712; P04798; Q16678; P10635; P54750; Q01064; Q14123; Q9Y233; P27815; Q08493; Q08499; Q9NP56; O00408; Q14432; Q13370; O76074; P51160; Q9HCR9; Q13946; O60658; O95263; O76083; P16499; P35913; P78527; O00329; P42336; P42338; Q14643; Q14571; Q14573; Q13315,Human,antagonist; multitarget; inhibitor; substrate,Cell membrane; Cytoplasmic; Endoplasmic reticulum membrane; Sarcoplasmic reticulum membrane; Cytoplasm; Cell projection; Apical cell membrane; Membrane; Nucleus,R03DA20; V04CG30; N06BC01,58-08-2
PWVXXGRKLHYWKM-LJQANCHMSA-N,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,DB00216,P28221; P34969; P08908; P28566; P41595; P30939; P28222; P08684; P10635; P11712; P33261; P23219; P11509; P08183,Human,agonist; substrate; inducer,Cell membrane; Endoplasmic reticulum membrane; Microsome membrane,N02CC06,143322-58-1
SEQDDYPDSLOBDC-UHFFFAOYSA-N,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,DB00231,P33261; P08684; P20813; P10632; P11712; P30536; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; Q8N1C3; P18507; Q99928; O14764; P78334; O00591; P24046; P28476; Q9UN88; A8MPY1,Human,substrate; other; potentiator; positive allosteric modulator,Endoplasmic reticulum membrane; Mitochondrion membrane; Cell junction,N05CD07,846-50-4
PZRHRDRVRGEVNW-UHFFFAOYSA-N,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1,DB00235,Q14432,Human,inhibitor,Membrane,C01CE02,78415-72-2
GIJXKZJWITVLHI-PMOLBWCYSA-N,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,DB00245,P11229; Q01959; P35367; P33261; P10635,Human,antagonist; inhibitor; substrate,Cell membrane; Endoplasmic reticulum membrane,N04AC01,86-13-5
BLSQLHNBWJLIBQ-OZXSUGGESA-N,CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,DB00251,P10613,Yeast,antagonist,Membrane,G01AG02,67915-31-5
OTBXOEAOVRKTNQ-UHFFFAOYSA-N,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,DB00261,Q14432; P05177,Human,inhibitor; substrate,Membrane; Endoplasmic reticulum membrane,L01XX35,68475-42-3
DOBMPNYZJYQDGZ-UHFFFAOYSA-N,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2,DB00266,Q9BQB6; P15559; Q08257; P11712; P02768,Human,inhibitor; substrate,Endoplasmic reticulum membrane; Cytoplasm; Secreted,B01AA01,66-76-2
YVPYQUNUQOZFHG-UHFFFAOYSA-N,CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I,DB00271,,,,,V08AA01,117-96-4
PNVNVHUZROJLTJ-UHFFFAOYSA-N,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,DB00285,P31645; P23975; P10635; P08684; P11712; P33261; Q01959; P08183; P20813; Q9UNQ0,Human,inhibitor; substrate; inducer,Cell membrane; Membrane; Endoplasmic reticulum membrane,N06AX16,93413-69-5
MKPLKVHSHYCHOC-AHTXBMBWSA-N,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F,DB00287,P43088,Human,agonist,Cell membrane,S01EE04,157283-68-6
NPUKDXXFDDZOKR-LLVKDONJSA-N,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1,DB00292,P14867; P18089; P11166; P15538; P19099; P11511; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Human,agonist; inhibitor; positive allosteric modulator,Cell junction; Cell membrane; Mitochondrion membrane; Membrane,N01AX07,33125-97-2
GCKFUYQCUCGESZ-BPIQYHPVSA-N,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],DB00294,P03372; P06401; P08684,Human,agonist; substrate,Nucleus; Endoplasmic reticulum membrane,G03AC08,54048-10-1
ZKMNUMMKYBVTFN-HNNXBMFYSA-N,CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,DB00296,Q9Y5Y9; P05177; P20813; P10635; P08684,Human,inhibitor; substrate,Membrane; Endoplasmic reticulum membrane,N01BB09,84057-95-4
WEXRUCMBJFQVBZ-UHFFFAOYSA-N,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,DB00312,P14867; P08684; P48169; Q16445; P47869; P34903; P31644; P43681; P36544; P42262; Q13002; P33261; P11509; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; Q05586; Q12879; Q13224; Q14957; O15399; Q8TCU5; O60391; O75469,Human,potentiator; inducer; antagonist; substrate; positive allosteric modulator; activator,Cell junction; Endoplasmic reticulum membrane; Cell membrane; Nucleus,N05CA01; N05CB01,76-74-4
ULSDMUVEXKOYBU-ZDUSSCGKSA-N,CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12,DB00315,P28221; P28222; P30939; P05177; P21397; P08908,Human,agonist; substrate,Cell membrane; Endoplasmic reticulum membrane; Mitochondrion outer membrane,N02CC03,139264-17-8
RZVAJINKPMORJF-UHFFFAOYSA-N,CC(=O)NC1=CC=C(O)C=C1,DB00316,P23219; P35354; P05177; P05181; P08183; Q4U2R8; P10635; P04798; P11509; P10632; P11712; P08684; P22309; P19224; O60656; P54855; Q9HAW8; P50225; P0DMM9; P49888; Q06520; P11245; O00519; Q8NER1; P09211,Human; Mouse,inhibitor; substrate; inducer,Microsome membrane; Endoplasmic reticulum membrane; Cell membrane; Microsome; Cytoplasm; Endomembrane system; Cell junction,N02BE01; N02BE51; N02BE71,103-90-2
IVBHGBMCVLDMKU-GXNBUGAJSA-N,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O,DB00319,Q4U2R8; Q75Y35; P0A3M6; Q8DNB6; Q7CRA4,Human; Streptococcus pneumoniae; Streptococcus pneumoniae (strain ATCC BAA-255 / R6),inhibitor,Cell membrane,J01CR50; J01CA12; J01CR05,66258-76-2
MIQPIUSUKVNLNT-UHFFFAOYSA-N,CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O,DB00323,P21964; P11712,Human,inhibitor,Cytoplasm; Endoplasmic reticulum membrane,N04BX01,134308-13-7
WVLOADHCBXTIJK-YNHQPCIGSA-N,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O,DB00327,P35372; P41143; P41145; P08684; P11712; P10635; P23219; O60656,Human,agonist; partial agonist; substrate,Cell membrane; Endoplasmic reticulum membrane; Microsome membrane; Microsome,N02AA03; N02AG04,466-99-9
CGIGDMFJXJATDK-UHFFFAOYSA-N,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,DB00328,P23219; P35354; P33261; O60656; P14555; Q8N8N7; Q04760; Q9Y5Y4; P37231; P02768; O15438; O15439; O95255; P08183; P33527; P46721; Q4U2R8; Q8TCC7; Q92887; Q96J66; Q9NSA0; Q14973; Q9Y694; P11712; P22309; P23141; P16662; Q07869; P42330,Human,inhibitor; substrate; other/unknown; activator; agonist,Microsome membrane; Endoplasmic reticulum membrane; Microsome; Membrane; Cytoplasm; Cell membrane; Nucleus; Secreted; Basolateral cell membrane; Apical cell membrane; Endoplasmic reticulum lumen,S01CC02; M02AA23; M01AB01; M01AB51; C01EB03; S01BC01,53-86-1
KASDHRXLYQOAKZ-XDSKOBMDSA-N,[H][C@]1(CC[C@H](Cl)[C@@H](C1)OC)\C=C(/C)[C@@]1([H])OC(=O)[C@]2([H])CCCCN2C(=O)C(=O)[C@]2(O)O[C@@]([H])([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC)C(=O)C[C@H](O)[C@H]1C)OC,DB00337,P62942; P42345; P08684,Human,potentiator; substrate,Cytoplasm; Endoplasmic reticulum membrane,D11AH02,137071-32-0
WNMJYKCGWZFFKR-UHFFFAOYSA-N,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N(C)CCCNC(=O)C1CCCO1,DB00346,P35348; P35368; P25100; P08684; Q12809,Human,antagonist; substrate,Nucleus membrane; Cell membrane; Endoplasmic reticulum membrane,G04CA51; G04CA01,81403-80-7
UNBRKDKAWYKMIV-QWQRMKEZSA-N,[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO,DB00353,P21728; P08684; P41595,Human,antagonist; inhibitor,Cell membrane; Endoplasmic reticulum membrane,G02AB01; G02AC01,113-42-8
MOYGZHXDRJNJEP-UHFFFAOYSA-N,CC(C)(C)C1=CC=C(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)C=C1,DB00354,P35367; P11229,Human,antagonist,Cell membrane,R06AE51; R06AE01,82-95-1
XEEQGYMUWCZPDN-UHFFFAOYSA-N,OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F,DB00358,P69905; P06276; P08684; P29274; P08183; P11511; P10635; P22303,Human; Plasmodium falciparum,antagonist; inhibitor; substrate,Secreted; Endoplasmic reticulum membrane; Cell membrane; Membrane; Cell junction,P01BF02; P01BC02,53230-10-7
SEEPANYCNGTZFQ-UHFFFAOYSA-N,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,DB00359,P11712; Q27738; P10632; P05181; P08684,Human; Plasmodium falciparum,substrate; inhibitor,Endoplasmic reticulum membrane,J01EE06; G01AE10; J01EE02; J01EC02,68-35-9
FNKQXYHWGSIFBK-RPDRRWSUSA-N,[H][C@@]1(CNC2=C(N1)C(=O)NC(N)=N2)[C@@H](O)[C@H](C)O,DB00360,P00439; P29474; P07101; P17752; P35354,Human,cofactor; inducer,Cell membrane; Microsome membrane,A16AX07,62989-33-7
MNQYNQBOVCBZIQ-JQOFMKNESA-A,O[Al](O)OS(=O)(=O)OC[C@H]1O[C@@H](O[C@]2(COS(=O)(=O)O[Al](O)O)O[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]2OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O,DB00364,P02768; P02671; P02675; P02679; P01133; P09038,Human,antagonist; inhibitor; inducer; agonist,Secreted; Membrane,A02BX02,54182-58-0
BLJRIMJGRPQVNF-JTQLQIEISA-N,[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1,DB00373,P08588; P07550; P10635; P08183; P33261; P00720,Human; Enterobacteria phage T4,antagonist; substrate; inhibitor,Cell membrane; Endoplasmic reticulum membrane; Host cytoplasm,S01ED51; C07DA06; S01ED01; C07BA06; C07AA06,26839-75-8
FNYLWPVRPXGIIP-UHFFFAOYSA-N,NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1,DB00384,P51170; P37088; P51168; P51172; P05177,Human,inhibitor; substrate,Apical cell membrane; Cell membrane; Endoplasmic reticulum membrane,C03DB02,396-01-0
CFOYWRHIYXMDOT-UHFFFAOYSA-N,CCOC(=O)N1C=CN(C)C1=S,DB00389,P07202; P11511; P05177,Human,inhibitor,Membrane; Endoplasmic reticulum membrane,H03BB01,22232-54-8
KUVIULQEHSCUHY-XYWKZLDCSA-N,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,DB00394,P08185; P04150; P20815,Human,binder; agonist; inducer,Secreted; Cytoplasm; Endoplasmic reticulum membrane,R03BA01; R03AK08; A07EA07; D07CC04; R01AD01; D07AC15,9/8/5534
OFZCIYFFPZCNJE-UHFFFAOYSA-N,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,DB00395,P33261; P14867; P47870; P18507,Human,substrate,Endoplasmic reticulum membrane; Cell junction,M03BA52; M03BA02; M03BA72,78-44-4
GUJRSXAPGDDABA-NSHDSACASA-N,CCN1CCC[C@H]1CNC(=O)C1=C(OC)C=CC(Br)=C1OC,DB00409,P14416; P21917; P28223; Q99720; P35462; P10635,Human,antagonist; other/unknown; substrate,Cell membrane; Nucleus inner membrane; Endoplasmic reticulum membrane,N05AL04,80125-14-0
YASAKCUCGLMORW-UHFFFAOYSA-N,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1,DB00412,P37231; P10632; P11712; O60488; Q9Y6L6; P23219; P05177; P11509; P33261; P10635; P02768; Q07869; Q03181; P19793; P28702; P48443,Human,agonist; substrate; inhibitor,Nucleus; Endoplasmic reticulum membrane; Mitochondrion outer membrane; Basolateral cell membrane; Microsome membrane; Secreted,A10BD03; A10BG02; A10BD04,122320-73-4
BPLBGHOLXOTWMN-MBNYWOFBSA-N,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)COC1=CC=CC=C1)C(O)=O,DB00417,Q8XJ01; Q53707; P24228; P12256; P46059,Clostridium perfringens (strain 13 / Type A); Staphylococcus aureus; Escherichia coli (strain K12); Lysinibacillus sphaericus; Human,inhibitor,Cell membrane; Periplasm; Membrane,J01CR50; J01CE02; J01CE10,87-08-1
UQRORFVVSGFNRO-UTINFBMNSA-N,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,DB00419,Q16739,Human,inhibitor,Golgi apparatus membrane,A16AX06,72599-27-0
ZAFYATHCZYHLPB-UHFFFAOYSA-N,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1,DB00425,P14867; P08684; P05177; P47869; P34903; P20815; P24462; P11712; P33261; P10635; P23219; P28472; P18507,Human,potentiator; substrate; agonist,Cell junction; Endoplasmic reticulum membrane; Microsome membrane,N05CF02,82626-48-0
UMMADZJLZAPZAW-OVXHCKHTSA-N,OCC([NH3+])(CO)CO.CCCCC[C@@](O)(C)\C=C\[C@H]1[C@@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(=O)[O-],DB00429,P34995,Human,agonist,Cell membrane,G02AD04,58551-69-2
PWAUCHMQEXVFJR-PMAPCBKXSA-N,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)C1=C(O)C=C(C)N=C1)C1=CC=C(O)C=C1)C(O)=O,DB00430,C1KC03; P02768; P0AD68; P02919; Q07806; Q9X6W0; P08506; P02918,Staphylococcus aureus; Human; Escherichia coli (strain K12); Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228); Pseudomonas aeruginosa,inhibitor,Secreted; Cell inner membrane; Cytoplasmic,J01DD11,70797-11-4
JLYXXMFPNIAWKQ-GNIYUCBRSA-N,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,DB00431,P18505; P23415; P23416; O75311; P48167; P28472; P24046; P06401; P03372; O75469,Human,antagonist,Cell junction; Nucleus,P03AB02,58-89-9
SDUQYLNIPVEERB-QPPQHZFASA-N,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,DB00441,P23921; P30085; P04818; P32320; P27707; P08183; Q5T3U5; Q99808; O00337; Q14542; Q9HAS3,Human,inhibitor; substrate; cross-linking/alkylation,Cytoplasm; Nucleus; Cytoplasmic; Cell membrane; Basolateral cell membrane,L01BC05,95058-81-4
UREBDLICKHMUKA-DVTGEIKXSA-N,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,DB00443,P04150; P08684; P08183; P11511,Human,agonist; inhibitor; substrate; inducer,Cytoplasm; Endoplasmic reticulum membrane; Cell membrane; Membrane,S01CA05; H02AB01; S01BB04; R03BA04; D07BC01; R01AD06; D07CC01; C05AA05; D07AC01; A07EA04; S03BA03; S01CB04; S02BA07; D07XC01; S01BA06; S03CA06,378-44-9
MJIHNNLFOKEZEW-UHFFFAOYSA-N,CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1,DB00448,P33261; P11712; P08684; P04798; P05177; Q16678; P33260; P10632; P10635; Q02928; P20648; P10636; P08183; Q9UNQ0,Human,substrate; inhibitor; inducer,Endoplasmic reticulum membrane; Cell membrane; Cytoplasm,A02BC53; A02BD10; A02BC03; A02BD03; A02BD07; A02BD09; A02BD02,103577-45-3
BLXXJMDCKKHMKV-UHFFFAOYSA-N,COC1=CC2=C(C=C1)C=C(CCC(C)=O)C=C2,DB00461,P23219; P35354; P05164; P05177,Human,inhibitor; substrate,Microsome membrane; Lysosome; Endoplasmic reticulum membrane,M01AX01,42924-53-8
FVEFRICMTUKAML-UHFFFAOYSA-M,[Na+].CCCCC(CC)CCC(CC(C)C)OS([O-])(=O)=O,DB00464,P04070; P07225,Human,inhibitor,Secreted,C05BB04,139-88-8
RTHCYVBBDHJXIQ-UHFFFAOYSA-N,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,DB00472,P31645; P11712; P10635; Q14097; P05177; P08684; P33261; P08183; P20813; P20815; P02768; P02763; Q12809; P28335; P61024,Human,inhibitor; substrate; antagonist,Cell membrane; Endoplasmic reticulum membrane; Secreted,N06CA03; N06AB03,54910-89-3
DKLKMKYDWHYZTD-UHFFFAOYSA-N,CC(CNC1CCCCC1)OC(=O)C1=CC=CC=C1,DB00473,Q14524; Q9Y5Y9,Human,inhibitor,Membrane,,532-77-4
NZXKDOXHBHYTKP-UHFFFAOYSA-N,CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O,DB00474,P14867,Human,antagonist,Cell junction,N01AF01; N05CB01; N05CA15,151-83-7
ANTSCNMPPGJYLG-UHFFFAOYSA-N,CNC1=NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2)=[N+]([O-])C1,DB00475,P08684; P10635; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Human,substrate; positive allosteric modulator,Endoplasmic reticulum membrane; Cell junction,N05BA02,58-25-3
ZEUITGRIYCTCEM-KRWDZBQOSA-N,CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1,DB00476,P31645; Q01959; P23975; P05177; P10635,Human,inhibitor; substrate,Cell membrane; Membrane; Endoplasmic reticulum membrane,N06AX21,116539-59-4
BIDNLKIUORFRQP-FKDWWROVSA-N,CCC(=O)OC(OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1)C(C)C,DB00492,P12821; P46059; Q16348,Human,inhibitor; substrate,Secreted; Membrane,C09AA09; C09BA09,98048-97-6
GPRBEKHLDVQUJE-QSWIMTSFSA-N,[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,DB00493,P42971; P46059; Q16348; Q4U2R8; Q8TCC7; Q9NSA0; Q9Y694; Q7CRA4; Q8DNB6; Q8DR59; P0A3M6; P02768; B2ZTR6,Bacillus subtilis (strain 168); Human; Streptococcus pneumoniae (strain ATCC BAA-255 / R6); Acinetobacter baumannii,inhibitor,Cell membrane; Membrane; Basolateral cell membrane; Secreted,J01DD51; J01DD01,63527-52-6
HBOMLICNUCNMMY-XLPZGREQSA-N,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,DB00495,P02768; P11509; P33261; P10632; P11712; P08684; Q72547; O15244; Q4U2R8; Q9Y694; Q8TCC7; Q9NSA0; O00337; Q14542; P08183; O15439; O15440; Q9UNQ0; O14746; P04183; P16662,Human; Human immunodeficiency virus 1,substrate; inhibitor,Secreted; Endoplasmic reticulum membrane; Cytoplasmic; Membrane; Cell membrane; Basolateral cell membrane; Nucleus; Cytoplasm; Microsome membrane,J05AR01; J05AR05; J05AF01; J05AR04,30516-87-1
BRUQQQPBMZOVGD-XFKAJCMBSA-N,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1(O)CCC2=O,DB00497,P10635; P08684; P20815; P24462; P35372; P41145; P41143; P02763; P19652,Human,substrate; agonist; binder,Endoplasmic reticulum membrane; Cell membrane; Secreted,N02AA55; N02AA05,76-42-6
NFBAXHOPROOJAW-UHFFFAOYSA-N,O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1,DB00498,Q9BQB6,Human,inhibitor,Endoplasmic reticulum membrane,B01AA02,83-12-5
AQIXAKUUQRKLND-UHFFFAOYSA-N,C\N=C(\NCCSCC1=C(C)NC=N1)NC#N,DB00501,P25021; P05177; P10635; P33261; P08684; P20815; P24462; P08183; O15244; O15245; O75751; O76082; O95342; Q4U2R8; Q8TCC7; Q96FL8; Q9H015; Q9NSA0; Q9Y694; P15538; P10632; P11712; P05181; P31513; Q01740,Human,antagonist; inhibitor; substrate; inducer,Cell membrane; Endoplasmic reticulum membrane; Membrane; Basolateral cell membrane; Mitochondrion membrane; Microsome membrane,A02BA01; A02BA51,51481-61-9
QSFKGMJOKUZAJM-UHFFFAOYSA-M,[Br-].CCCC(CCC)C(=O)O[C@H]1CC2CCC(C1)[N+]2(C)C,DB00517,P11229; P08172; P20309,Human,antagonist,Cell membrane,,80-50-2
ZJAOAACCNHFJAH-UHFFFAOYSA-N,OC(=O)P(O)(O)=O,DB00529,P04293; P08546; Q4U2R8; P53985,HHV-1; HHV-5; Human,inhibitor; substrate,Host nucleus; Cell membrane,J05AD01,4428-95-9
AAKJLRGGTJKAMG-UHFFFAOYSA-N,COCCOC1=C(OCCOC)C=C2C(NC3=CC=CC(=C3)C#C)=NC=NC2=C1,DB00530,P00533; P08684; Q9UNQ0; P08183; O75469; P20815; P04798; P05177; Q16678; P10635; P10632; P22309; P02768; P02763,Human,antagonist; substrate; inhibitor; agonist,Cell membrane; Endoplasmic reticulum membrane; Nucleus; Microsome; Secreted,L01XE03,183321-74-6
ZRALSGWEFCBTJO-UHFFFAOYSA-N,NC(N)=N,DB00536,P07998; P78352; P00720; P05091; P0A6E4; Q14353; P53608; O15244; O15245; O75751; O76082; Q8TCC7; Q9H015,Human; Enterobacteria phage T4; Escherichia coli (strain K12); Bacillus caldovelox,inhibitor; substrate,Secreted; Cell membrane; Host cytoplasm; Mitochondrion matrix; Cytoplasm; Cytoplasmic; Membrane; Basolateral cell membrane,,113-00-8
QWGDMFLQWFTERH-UHFFFAOYSA-N,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1,DB00543,P31645; P23975; P08913; P14416; P35348; P21728; P11229; P14867; P02763; P10635; P28223; P28335; P50406; P34969; P35462; P21917; P35367; P35368; P25100; P08172; P20309; P08173; P08912; P41595; P46098; P08908; P28222; P18089; P18825; Q9H3N8; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; Q01959,Human,inhibitor; antagonist; substrate; binder,Cell membrane; Membrane; Nucleus membrane; Cell junction; Secreted; Endoplasmic reticulum membrane,N06AA17,14028-44-5
KNAHARQHSZJURB-UHFFFAOYSA-N,CCCC1=CC(=O)NC(=S)N1,DB00550,P07202; P05164; P09172,Human,inhibitor,Membrane; Lysosome; Cytoplasmic vesicle,H03BA02,51-52-5
RRUDCFGSUDOHDG-UHFFFAOYSA-N,CC(=O)NO,DB00551,P18314; P39900,Enterobacter aerogenes; Human,inhibitor,Cytoplasm; Secreted,G04BX03,546-88-3
ZQDWXGKKHFNSQK-UHFFFAOYSA-N,OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,DB00557,P35367; P10635,Human,antagonist; inhibitor,Cell membrane; Endoplasmic reticulum membrane,N05BB51; N05BB01,68-88-2
